Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,42.12,50.57,42.12,49.82,434100,49.82
2014-12-30,49.97,50.38,49.60,50.36,456300,50.36
2014-12-29,50.62,50.62,49.68,50.23,219400,50.23
2014-12-26,51.00,51.20,49.68,50.68,140600,50.68
2014-12-24,51.31,51.40,51.01,51.02,62000,51.02
2014-12-23,51.01,51.63,50.75,51.47,403100,51.47
2014-12-22,49.52,50.90,49.52,50.82,898400,50.82
2014-12-19,48.37,49.80,48.37,49.66,1139800,49.66
2014-12-18,48.60,48.77,48.11,48.36,2352800,48.36
2014-12-17,47.98,48.28,47.82,48.10,1696300,48.10
2014-12-16,48.10,48.10,47.67,47.87,913400,47.87
2014-12-15,49.69,49.69,47.82,48.24,587500,48.24
2014-12-12,49.66,50.24,48.77,48.98,456600,48.98
2014-12-11,51.69,51.74,49.46,50.65,988500,50.65
2014-12-10,54.11,54.48,53.26,53.47,688200,51.12
2014-12-09,53.16,54.10,52.96,54.00,298600,51.63
2014-12-08,53.75,54.04,53.64,53.90,304900,51.53
2014-12-05,53.62,54.47,53.48,53.90,650200,51.53
2014-12-04,53.10,53.76,53.06,53.71,639800,51.35
2014-12-03,53.75,54.36,53.39,53.46,424000,51.11
2014-12-02,54.05,54.41,53.51,54.16,656500,51.78
2014-12-01,54.42,54.72,53.77,53.78,585000,51.41
2014-11-28,54.02,54.74,53.94,54.40,178200,52.01
2014-11-26,54.74,54.74,53.31,54.01,306300,51.63
2014-11-25,52.78,54.04,51.73,53.74,764700,51.38
2014-11-24,51.85,52.74,51.43,52.67,321600,50.35
2014-11-21,51.79,52.02,51.10,51.54,524300,49.27
2014-11-20,49.70,51.71,49.70,51.14,499400,48.89
2014-11-19,48.46,50.72,48.46,50.63,279000,48.40
2014-11-18,47.90,49.27,47.59,48.92,343000,46.77
2014-11-17,48.45,48.87,47.32,48.47,400600,46.34
2014-11-14,48.31,48.76,47.15,47.88,1202100,45.77
2014-11-13,46.49,48.58,45.64,48.15,1385300,46.03
2014-11-12,44.19,47.01,44.07,46.71,1789000,44.66
2014-11-11,45.44,46.35,44.56,45.15,2382900,43.16
2014-11-10,49.19,49.54,46.49,46.66,1217300,44.61
2014-11-07,49.50,50.08,48.99,49.38,1230600,47.21
2014-11-06,51.49,51.49,48.76,49.47,1480200,47.29
2014-11-05,47.03,51.89,47.03,50.96,4868300,48.72
