Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,35.35,35.53,34.39,34.45,2689300,34.45
2014-12-30,35.27,35.35,34.64,35.23,196500,35.23
2014-12-29,34.75,35.74,34.70,35.46,1402100,35.46
2014-12-26,35.04,35.13,34.61,34.87,1377000,34.87
2014-12-24,34.98,35.18,34.79,34.89,715800,34.89
2014-12-23,34.72,35.50,34.65,35.08,2365600,35.08
2014-12-22,35.56,35.61,34.35,34.60,3585900,34.60
2014-12-19,35.76,35.78,34.85,35.43,5738600,35.43
2014-12-18,34.68,35.45,34.47,35.41,3503100,35.41
2014-12-17,33.30,34.34,33.22,34.22,1919500,34.22
2014-12-16,32.91,33.70,32.48,33.19,2808200,33.19
2014-12-15,33.77,34.00,32.69,32.87,2449500,32.87
2014-12-12,33.32,34.30,33.06,33.38,4975700,33.38
2014-12-11,34.11,34.67,33.99,34.05,2722400,34.05
2014-12-10,34.43,34.59,33.87,33.90,2968600,33.90
2014-12-09,33.54,34.69,33.14,34.64,3731700,34.64
2014-12-08,33.83,34.14,33.38,33.67,4332200,33.67
2014-12-05,34.43,34.60,33.16,33.97,7049200,33.97
2014-12-04,35.24,35.31,34.31,34.43,2661700,34.43
2014-12-03,34.93,35.69,34.83,35.31,2695000,35.31
2014-12-02,34.80,35.20,34.65,34.92,1554000,34.92
2014-12-01,34.63,35.04,34.39,34.69,2108000,34.69
2014-11-28,35.06,35.09,34.47,34.90,1077700,34.90
2014-11-26,34.81,34.96,34.45,34.73,1875900,34.73
2014-11-25,34.83,35.35,34.62,34.81,3009800,34.81
2014-11-24,34.02,34.61,33.81,34.59,2791500,34.59
2014-11-21,34.22,34.22,33.45,33.75,3043000,33.75
2014-11-20,32.76,33.95,32.65,33.92,4060800,33.92
2014-11-19,33.17,33.46,32.76,32.97,4012600,32.97
2014-11-18,32.79,33.57,32.42,33.36,4770600,33.36
2014-11-17,33.21,33.52,32.45,32.53,3759000,32.53
2014-11-14,32.92,33.63,32.75,33.53,6156600,33.53
2014-11-13,31.99,32.98,31.75,32.86,7771100,32.86
2014-11-12,31.29,32.02,31.29,31.86,4780900,31.86
2014-11-11,32.34,32.68,31.87,31.99,6446200,31.99
2014-11-10,32.78,32.90,32.19,32.26,4724200,32.26
2014-11-07,33.02,33.33,32.56,32.62,5338500,32.62
2014-11-06,34.56,34.70,32.88,32.90,4515500,32.90
2014-11-05,33.29,34.53,32.15,34.47,11660100,34.47
2014-11-04,32.66,33.54,32.03,33.31,11848400,33.31
2014-11-03,35.35,35.73,35.01,35.67,3740300,35.67
2014-10-31,36.74,37.00,35.15,35.35,5822600,35.35
2014-10-30,36.14,36.91,35.52,35.94,5342000,35.94
2014-10-29,37.13,37.64,36.72,37.02,1565800,37.02
2014-10-28,36.45,37.38,36.45,37.24,2495900,37.24
2014-10-27,36.48,36.72,36.17,36.52,1636200,36.52
2014-10-24,35.99,36.75,35.70,36.61,2112600,36.61
2014-10-23,35.22,36.59,35.00,35.97,3074900,35.97
2014-10-22,36.31,36.48,34.85,34.89,2220200,34.89
2014-10-21,34.80,36.50,34.65,36.24,2830100,36.24
2014-10-20,34.50,34.80,34.06,34.65,2064500,34.65
2014-10-17,34.46,35.17,34.45,34.65,1878600,34.65
2014-10-16,33.76,34.45,33.64,34.19,3161500,34.19
2014-10-15,33.73,34.95,33.21,34.45,4365600,34.45
2014-10-14,34.19,35.44,34.19,34.31,5207600,34.31
2014-10-13,35.00,35.25,33.88,33.91,3393000,33.91
2014-10-10,35.79,35.99,35.05,35.07,3447700,35.07
2014-10-09,37.00,37.09,35.72,35.79,4054200,35.79
2014-10-08,36.14,37.28,36.00,37.16,5510200,37.16
2014-10-07,36.65,36.77,36.05,36.20,4021900,36.20
2014-10-06,37.16,37.46,36.78,36.85,2572200,36.85
2014-10-03,36.36,37.13,36.11,37.00,2795800,37.00
2014-10-02,36.12,36.41,35.47,36.27,5380900,36.27
2014-10-01,37.63,37.89,36.30,36.31,5402100,36.31
2014-09-30,37.83,38.13,37.66,37.80,3200300,37.80
2014-09-29,38.51,38.90,37.30,37.71,4455900,37.71
2014-09-26,38.07,39.06,37.97,39.00,2992100,39.00
2014-09-25,37.92,38.38,37.83,38.09,3471000,38.09
