Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,10.10,10.50,9.99,10.14,37700,10.14
2014-12-30,10.37,10.37,10.17,10.17,600,10.17
2014-12-29,10.37,10.55,10.35,10.47,29700,10.47
2014-12-26,10.50,10.55,10.35,10.42,17900,10.42
2014-12-24,10.58,10.58,10.32,10.54,7800,10.54
2014-12-23,10.49,10.72,10.30,10.55,16100,10.55
2014-12-22,10.61,10.98,10.25,10.57,21000,10.57
2014-12-19,11.32,11.32,10.63,10.63,47500,10.63
2014-12-18,11.29,11.45,11.25,11.29,20900,11.29
2014-12-17,10.79,11.28,10.79,11.19,33300,11.19
2014-12-16,10.71,11.28,10.71,10.94,17700,10.94
2014-12-15,11.36,11.45,10.55,11.10,56700,11.10
2014-12-12,10.98,11.47,10.13,11.23,87200,11.23
2014-12-11,11.38,11.52,11.00,11.05,13500,11.05
2014-12-10,11.35,11.35,11.10,11.21,27300,11.21
2014-12-09,11.44,11.66,11.23,11.42,29800,11.42
2014-12-08,11.79,12.15,11.40,11.54,30500,11.54
2014-12-05,11.47,11.90,11.19,11.74,26100,11.74
2014-12-04,11.19,11.19,10.90,11.05,12400,11.05
2014-12-03,10.93,11.44,10.89,11.20,49000,11.20
2014-12-02,12.10,12.45,10.85,10.90,48800,10.90
2014-12-01,13.00,13.00,11.92,12.02,46300,12.02
2014-11-28,12.06,12.23,11.87,11.95,16400,11.95
2014-11-26,11.96,12.25,11.62,12.17,31400,12.17
2014-11-25,12.30,12.34,11.88,12.18,32500,12.18
2014-11-24,12.13,12.26,12.00,12.12,29200,12.12
2014-11-21,12.23,12.24,11.85,12.10,36900,12.10
2014-11-20,11.85,12.37,11.50,12.17,32400,12.17
2014-11-19,12.98,12.98,12.06,12.23,40200,12.23
2014-11-18,14.47,14.47,12.30,12.71,71000,12.71
2014-11-17,12.14,13.26,12.14,12.88,35500,12.88
2014-11-14,12.55,13.14,12.00,12.12,41300,12.12
2014-11-13,14.14,14.39,12.53,12.53,50800,12.53
2014-11-12,13.91,14.16,13.39,13.65,36500,13.65
2014-11-11,13.15,14.33,12.01,14.31,50700,14.31
2014-11-10,12.76,13.47,12.76,13.37,44400,13.37
2014-11-07,13.12,13.29,12.38,12.71,49200,12.71
2014-11-06,12.87,13.67,12.87,13.32,28600,13.32
2014-11-05,13.00,13.46,12.51,12.86,85500,12.86
2014-11-04,14.20,14.55,12.90,12.94,73800,12.94
2014-11-03,14.00,14.50,13.80,14.18,87600,14.18
2014-10-31,11.73,14.55,11.73,13.64,226000,13.64
