Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,35.14,35.77,34.26,35.27,566200,35.27
2014-12-30,35.18,35.73,35.09,35.67,716400,35.67
2014-12-29,34.57,35.27,34.57,35.12,703800,35.12
2014-12-26,34.50,34.80,34.22,34.63,564700,34.63
2014-12-24,34.12,34.64,34.01,34.41,369800,34.41
2014-12-23,34.48,34.62,34.12,34.23,1325500,34.23
2014-12-22,34.39,34.51,34.16,34.24,1219000,34.24
2014-12-19,33.96,34.49,33.81,34.38,2004600,34.38
2014-12-18,34.38,34.38,33.82,33.96,1411900,33.96
2014-12-17,33.46,33.92,33.46,33.82,974300,33.82
2014-12-16,33.55,33.97,33.42,33.45,1159900,33.45
2014-12-15,34.71,34.76,33.22,33.66,1854100,33.66
2014-12-12,34.63,34.86,34.42,34.47,1136200,34.47
2014-12-11,34.55,35.10,34.40,35.02,1944100,35.02
2014-12-10,34.78,34.97,34.36,34.53,683400,34.53
2014-12-09,34.82,35.07,34.24,35.02,880000,35.02
2014-12-08,35.42,35.55,34.68,34.81,1114300,34.81
2014-12-05,36.81,36.81,35.67,35.85,1618400,35.85
2014-12-04,36.62,36.67,35.76,36.60,621100,36.60
2014-12-03,36.32,36.73,36.10,36.65,485400,36.65
2014-12-02,36.48,36.61,36.34,36.44,691200,36.44
2014-12-01,36.78,36.83,36.15,36.48,747100,36.48
2014-11-28,36.70,36.80,36.39,36.77,267800,36.77
2014-11-26,36.76,36.86,36.49,36.76,771000,36.76
2014-11-25,36.18,36.79,36.18,36.76,886200,36.76
2014-11-24,35.68,36.19,35.56,36.17,834500,36.17
2014-11-21,36.39,36.39,35.58,35.66,642400,35.66
2014-11-20,35.41,35.97,35.16,35.91,766500,35.91
2014-11-19,36.19,36.45,35.73,35.82,781100,35.82
2014-11-18,35.80,36.50,35.57,36.27,1346900,36.27
2014-11-17,35.51,35.96,35.25,35.91,1127600,35.91
2014-11-14,35.78,35.85,35.51,35.69,1275800,35.69
2014-11-13,35.64,35.97,35.44,35.87,1439500,35.87
2014-11-12,35.68,35.93,35.54,35.70,1075900,35.70
2014-11-11,35.78,36.09,35.64,35.88,1810200,35.88
2014-11-10,36.37,36.45,35.59,35.82,1437100,35.82
2014-11-07,36.35,36.44,36.01,36.37,1534000,36.37
2014-11-06,35.78,36.32,35.58,36.24,2008700,36.24
2014-11-05,37.18,37.72,35.44,35.84,1988600,35.84
2014-11-04,48.40,48.52,47.52,48.49,2037400,36.71
2014-11-03,48.02,48.49,47.77,48.41,1773000,36.65
2014-10-31,47.99,48.67,47.39,48.02,1745400,36.35
2014-10-30,46.70,47.04,46.57,47.02,831200,35.59
2014-10-29,46.89,47.07,46.53,46.80,2264200,35.43
2014-10-28,46.53,47.08,46.51,46.84,977100,35.46
2014-10-27,46.53,46.70,46.09,46.53,785700,35.22
2014-10-24,46.32,46.54,45.86,46.46,811600,35.17
2014-10-23,45.55,46.49,45.01,46.09,548600,34.89
2014-10-22,46.18,46.52,45.00,45.02,977100,34.08
2014-10-21,45.02,46.38,44.58,46.17,1127500,34.95
2014-10-20,43.94,44.49,43.69,44.38,970300,33.60
2014-10-17,42.97,44.19,42.74,43.85,1258400,33.19
2014-10-16,42.11,43.33,41.95,42.59,1435000,32.24
2014-10-15,42.85,42.97,41.00,42.86,2644500,32.45
2014-10-14,43.02,43.75,42.81,42.99,1022600,32.54
2014-10-13,43.65,43.71,42.62,42.71,1411900,32.33
2014-10-10,45.19,45.46,43.85,43.89,2177100,33.22
2014-10-09,46.40,46.45,45.08,45.23,1109400,34.24
2014-10-08,46.00,46.52,45.45,46.49,1805400,35.19
2014-10-07,46.16,46.75,45.86,45.91,898700,34.75
2014-10-06,47.17,47.50,46.30,46.45,759000,35.16
2014-10-03,46.33,46.95,46.18,46.80,1626400,35.43
2014-10-02,46.03,46.35,45.06,46.01,951800,34.83
2014-10-01,47.25,47.37,45.71,45.82,1325000,34.69
2014-09-30,47.14,47.58,47.00,47.18,1395600,35.72
2014-09-29,47.39,47.44,46.69,47.06,967600,35.62
2014-09-26,46.77,47.64,46.59,47.56,933400,36.00
2014-09-25,47.23,47.32,46.32,46.83,738800,35.45
2014-09-24,47.29,47.40,46.50,47.24,1152800,35.76
2014-09-23,47.37,47.52,46.76,47.21,1871900,35.74
2014-09-22,48.76,48.95,47.21,47.42,2234100,35.90
2014-09-19,49.05,49.31,48.71,48.82,2675900,36.96
