Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,33.61,33.61,33.61,33.61,000,33.61
2014-12-30,33.61,33.61,33.61,33.61,000,33.61
2014-12-29,33.61,33.61,33.61,33.61,000,33.61
2014-12-26,33.61,33.61,33.61,33.61,000,33.61
2014-12-24,33.61,33.61,33.61,33.61,000,33.61
2014-12-23,33.00,33.61,33.00,33.61,300,33.61
2014-12-22,33.00,33.00,33.00,33.00,000,33.00
2014-12-19,33.16,35.39,33.00,33.00,5300,33.00
2014-12-18,34.50,34.50,34.50,34.50,600,34.50
2014-12-17,33.00,34.00,33.00,34.00,1700,34.00
2014-12-16,33.00,33.93,33.00,33.93,1000,33.93
2014-12-15,33.49,33.75,33.49,33.75,1500,33.75
2014-12-12,33.00,33.00,33.00,33.00,000,33.00
2014-12-11,33.00,33.00,33.00,33.00,000,33.00
2014-12-10,33.00,33.00,33.00,33.00,000,33.00
2014-12-09,33.00,33.00,33.00,33.00,300,33.00
2014-12-08,33.50,33.50,33.50,33.50,200,33.50
2014-12-05,33.50,33.50,33.50,33.50,400,33.50
2014-12-04,33.25,33.25,33.25,33.25,000,33.25
2014-12-03,33.25,33.25,33.25,33.25,000,33.25
2014-12-02,33.25,33.25,33.25,33.25,000,33.25
2014-12-01,33.72,33.72,33.25,33.25,300,33.25
2014-11-28,33.25,33.25,33.25,33.25,000,33.25
2014-11-26,33.25,33.25,33.25,33.25,300,33.25
2014-11-25,33.35,33.35,33.35,33.35,000,33.09
2014-11-24,33.32,33.35,33.32,33.35,400,33.09
2014-11-21,33.70,33.75,33.70,33.75,300,33.49
2014-11-20,33.26,33.26,33.26,33.26,000,33.00
2014-11-19,33.26,33.26,33.26,33.26,000,33.00
2014-11-18,33.26,33.26,33.26,33.26,000,33.00
2014-11-17,33.26,33.26,33.26,33.26,000,33.00
2014-11-14,33.26,33.26,33.26,33.26,000,33.00
2014-11-13,33.26,33.26,33.26,33.26,000,33.00
2014-11-12,33.26,33.26,33.26,33.26,000,33.00
2014-11-11,33.26,33.26,33.26,33.26,000,33.00
2014-11-10,33.26,33.26,33.26,33.26,000,33.00
2014-11-07,33.26,33.26,33.26,33.26,000,33.00
2014-11-06,33.26,33.26,33.26,33.26,000,33.00
2014-11-05,33.26,33.26,33.26,33.26,000,33.00
2014-11-04,33.26,33.26,33.26,33.26,000,33.00
2014-11-03,33.26,33.26,33.26,33.26,000,33.00
2014-10-31,33.26,33.26,33.26,33.26,000,33.00
2014-10-30,33.26,33.26,33.26,33.26,000,33.00
2014-10-29,33.26,33.26,33.26,33.26,000,33.00
2014-10-28,33.26,33.26,33.26,33.26,000,33.00
2014-10-27,33.26,33.26,33.26,33.26,000,33.00
2014-10-24,33.26,33.26,33.26,33.26,000,33.00
2014-10-23,33.26,33.26,33.26,33.26,000,33.00
2014-10-22,33.26,33.26,33.26,33.26,000,33.00
2014-10-21,34.00,34.00,33.25,33.26,5100,33.00
2014-10-20,33.25,33.25,33.25,33.25,000,32.99
2014-10-17,33.25,33.25,33.25,33.25,000,32.99
2014-10-16,33.25,33.25,33.25,33.25,100,32.99
2014-10-15,33.30,33.78,33.30,33.78,500,33.52
2014-10-14,33.30,33.30,33.30,33.30,1800,33.04
2014-10-13,33.25,33.25,33.25,33.25,000,32.99
2014-10-10,33.25,33.25,33.25,33.25,300,32.99
2014-10-09,33.25,33.25,33.20,33.25,400,32.99
2014-10-08,33.35,33.35,33.35,33.35,500,33.09
2014-10-07,33.25,33.25,33.25,33.25,000,32.99
2014-10-06,33.30,33.30,33.25,33.25,1100,32.99
2014-10-03,33.50,33.50,33.50,33.50,000,33.24
2014-10-02,33.50,33.50,33.50,33.50,300,33.24
2014-10-01,33.85,33.85,33.80,33.80,500,33.54
2014-09-30,33.82,33.85,33.82,33.85,600,33.59
2014-09-29,35.70,35.70,35.70,35.70,000,35.42
2014-09-26,35.86,35.86,35.70,35.70,800,35.42
2014-09-25,33.25,33.25,33.25,33.25,000,32.99
2014-09-24,33.25,33.25,33.25,33.25,000,32.99
2014-09-23,33.25,33.25,33.25,33.25,300,32.99
2014-09-22,33.22,33.22,33.22,33.22,000,32.96
2014-09-19,33.25,33.25,33.10,33.22,1300,32.96
2014-09-18,33.50,33.50,33.10,33.10,2600,32.84
2014-09-17,34.98,34.98,34.93,34.93,400,34.66
2014-09-16,35.50,35.50,35.50,35.50,400,35.22
2014-09-15,32.46,32.46,32.46,32.46,000,32.21
2014-09-12,32.46,32.46,32.46,32.46,000,32.21
2014-09-11,32.46,32.46,32.46,32.46,000,32.21
2014-09-10,32.46,32.46,32.46,32.46,1300,32.21
2014-09-09,32.40,32.47,32.40,32.40,1400,32.15
2014-09-08,31.90,32.01,31.90,32.01,1400,31.76
2014-09-05,30.72,31.50,30.72,31.50,2800,31.25
2014-09-04,30.46,30.46,30.46,30.46,100,30.22
2014-09-03,30.47,30.47,30.47,30.47,000,30.23
2014-09-02,30.47,30.47,30.47,30.47,000,30.23
2014-08-29,30.00,30.47,30.00,30.47,1000,29.97
2014-08-28,30.25,30.25,30.00,30.00,1300,29.51
2014-08-27,30.47,30.47,30.25,30.25,300,29.76
2014-08-26,30.47,30.47,30.47,30.47,5100,29.97
2014-08-25,30.47,30.47,30.47,30.47,1400,29.97
2014-08-22,30.47,30.47,30.47,30.47,400,29.97
2014-08-21,30.00,30.00,30.00,30.00,900,29.51
2014-08-20,30.00,30.00,30.00,30.00,000,29.51
2014-08-19,30.00,30.00,30.00,30.00,000,29.51
2014-08-18,30.00,30.00,30.00,30.00,000,29.51
2014-08-15,30.00,30.00,30.00,30.00,000,29.51
2014-08-14,30.00,30.00,30.00,30.00,100,29.51
2014-08-13,29.50,29.50,29.50,29.50,000,29.02
2014-08-12,29.50,29.50,29.50,29.50,000,29.02
2014-08-11,29.50,29.50,29.50,29.50,000,29.02
2014-08-08,29.50,29.50,29.50,29.50,000,29.02
2014-08-07,29.50,29.50,29.50,29.50,000,29.02
2014-08-06,29.50,29.50,29.50,29.50,200,29.02
2014-08-05,29.50,29.50,29.50,29.50,700,29.02
2014-08-04,29.50,29.50,29.50,29.50,000,29.02
2014-08-01,29.50,29.50,29.50,29.50,200,29.02
2014-07-31,29.00,29.00,29.00,29.00,000,28.53
2014-07-30,29.00,29.00,29.00,29.00,000,28.53
2014-07-29,28.90,29.40,28.90,29.00,900,28.53
2014-07-28,29.50,29.50,29.50,29.50,000,29.02
2014-07-25,29.50,29.50,29.50,29.50,400,29.02
2014-07-24,29.50,29.50,28.55,29.50,1300,29.02
2014-07-23,29.50,29.50,29.50,29.50,500,29.02
2014-07-22,29.50,29.50,29.50,29.50,500,29.02
2014-07-21,29.00,29.00,29.00,29.00,000,28.53
2014-07-18,29.00,29.00,29.00,29.00,000,28.53
2014-07-17,29.00,29.00,29.00,29.00,000,28.53
2014-07-16,29.00,29.50,29.00,29.00,2300,28.53
2014-07-15,28.55,28.55,28.55,28.55,000,28.09
2014-07-14,28.55,28.55,28.55,28.55,000,28.09
2014-07-11,30.24,30.24,28.55,28.55,1300,28.09
2014-07-10,30.24,30.24,30.24,30.24,500,29.75
2014-07-09,30.24,30.24,30.24,30.24,5000,29.75
2014-07-08,30.00,30.00,30.00,30.00,300,29.51
2014-07-07,30.24,30.24,30.24,30.24,000,29.75
2014-07-03,30.24,30.24,30.24,30.24,200,29.75
2014-07-02,29.50,29.50,29.50,29.50,000,29.02
2014-07-01,29.50,29.50,29.50,29.50,000,29.02
2014-06-30,29.50,29.50,29.50,29.50,000,29.02
2014-06-27,29.50,29.50,29.50,29.50,400,29.02
2014-06-26,28.50,28.50,28.50,28.50,000,28.04
2014-06-25,28.50,28.50,28.50,28.50,000,28.04
2014-06-24,28.50,28.50,28.50,28.50,400,28.04
2014-06-23,29.01,29.01,29.01,29.01,000,28.54
2014-06-20,30.00,30.00,29.01,29.01,500,28.54
2014-06-19,29.00,29.75,29.00,29.75,600,29.27
2014-06-18,28.75,28.75,28.75,28.75,400,28.28
2014-06-17,28.25,28.25,28.25,28.25,1200,27.79
2014-06-16,28.25,28.25,28.25,28.25,000,27.79
2014-06-13,28.25,28.25,28.25,28.25,000,27.79
2014-06-12,28.25,28.25,28.25,28.25,000,27.79
2014-06-11,28.25,28.25,28.25,28.25,700,27.79
2014-06-10,28.25,28.25,28.25,28.25,500,27.79
2014-06-09,28.25,28.25,28.25,28.25,000,27.79
2014-06-06,28.25,28.25,28.25,28.25,200,27.79
2014-06-05,28.25,28.25,28.25,28.25,700,27.79
2014-06-04,28.00,28.00,28.00,28.00,000,27.54
2014-06-03,28.00,28.00,28.00,28.00,000,27.54
2014-06-02,28.00,28.00,28.00,28.00,000,27.29
2014-05-30,28.10,28.10,28.00,28.00,1900,27.29
2014-05-29,28.10,28.10,28.10,28.10,000,27.39
2014-05-28,28.10,28.10,28.10,28.10,100,27.39
2014-05-27,30.50,30.50,30.50,30.50,100,29.73
2014-05-23,28.00,28.00,28.00,28.00,000,27.29
2014-05-22,28.00,28.00,28.00,28.00,000,27.29
2014-05-21,28.00,28.00,28.00,28.00,000,27.29
2014-05-20,27.85,28.00,27.85,28.00,1600,27.29
2014-05-19,27.75,27.75,27.75,27.75,000,27.05
2014-05-16,27.75,27.75,27.75,27.75,500,27.05
2014-05-15,27.25,27.25,27.25,27.25,000,26.56
2014-05-14,27.25,27.25,27.25,27.25,000,26.56
2014-05-13,27.38,27.38,27.25,27.25,2100,26.56
2014-05-12,27.75,27.75,27.50,27.50,1300,26.80
2014-05-09,27.75,27.75,27.75,27.75,600,27.05
2014-05-08,27.50,27.50,27.50,27.50,100,26.80
2014-05-07,27.25,27.25,27.25,27.25,700,26.56
2014-05-06,27.25,27.25,27.25,27.25,200,26.56
2014-05-05,27.25,27.25,27.25,27.25,2000,26.56
2014-05-02,27.50,27.50,27.50,27.50,200,26.80
2014-05-01,27.25,27.50,27.25,27.25,1700,26.56
2014-04-30,27.25,27.40,27.25,27.25,3300,26.56
2014-04-29,27.75,27.75,27.75,27.75,1000,27.05
2014-04-28,27.50,27.50,27.15,27.20,2800,26.51
2014-04-25,27.75,27.75,27.75,27.75,1300,27.05
2014-04-24,27.75,27.75,27.75,27.75,000,27.05
2014-04-23,27.75,27.75,27.75,27.75,000,27.05
2014-04-22,27.75,27.75,27.75,27.75,000,27.05
2014-04-21,27.75,27.75,27.75,27.75,000,27.05
2014-04-17,27.75,27.75,27.75,27.75,000,27.05
2014-04-16,27.75,27.75,27.75,27.75,000,27.05
2014-04-15,27.75,27.75,27.75,27.75,200,27.05
2014-04-14,27.05,27.05,27.05,27.05,000,26.36
2014-04-11,27.05,27.05,27.05,27.05,700,26.36
2014-04-10,27.05,27.05,27.05,27.05,400,26.36
2014-04-09,27.05,27.05,27.05,27.05,100,26.36
2014-04-08,27.07,27.07,27.07,27.07,1600,26.38
2014-04-07,27.05,27.05,27.05,27.05,000,26.36
2014-04-04,27.10,27.10,27.05,27.05,1500,26.36
2014-04-03,27.10,27.10,27.10,27.10,300,26.41
2014-04-02,27.10,27.10,27.10,27.10,400,26.41
2014-04-01,27.10,27.10,27.10,27.10,000,26.41
2014-03-31,27.50,27.50,27.10,27.10,300,26.41
2014-03-28,27.10,27.10,27.10,27.10,000,26.41
2014-03-27,27.10,27.10,27.10,27.10,400,26.41
