Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,26.29,26.65,26.00,26.65,7700,26.65
2014-12-30,27.50,27.50,26.30,26.64,300,26.64
2014-12-29,28.11,28.86,27.08,27.96,26100,27.96
2014-12-26,28.67,28.68,28.31,28.67,9000,28.67
2014-12-24,28.81,29.35,28.52,28.96,5300,28.96
2014-12-23,29.53,29.88,28.02,28.96,15400,28.96
2014-12-22,28.54,29.65,28.02,29.05,29100,29.05
2014-12-19,28.03,29.45,27.76,28.87,8800,28.87
2014-12-18,28.75,28.75,27.65,28.19,10900,28.19
2014-12-17,29.00,29.01,28.25,28.93,14000,28.93
2014-12-16,28.23,29.26,28.05,29.26,11000,29.26
2014-12-15,28.10,29.90,28.10,29.40,29300,29.40
2014-12-12,28.57,29.45,27.50,28.10,18200,28.10
2014-12-11,27.67,29.37,27.67,29.11,14700,29.11
2014-12-10,28.89,30.99,27.27,27.66,44500,27.66
2014-12-09,30.05,30.05,28.60,29.84,13400,29.84
2014-12-08,27.60,31.97,27.35,30.65,97800,30.65
2014-12-05,26.40,27.30,26.40,27.17,20200,27.17
2014-12-04,27.76,27.76,25.30,26.88,30800,26.88
2014-12-03,27.46,28.50,26.15,27.40,28300,27.40
2014-12-02,27.12,28.00,26.80,27.26,16800,27.26
2014-12-01,25.30,28.00,25.30,27.03,75400,27.03
2014-11-28,25.07,25.78,24.78,25.25,15500,25.25
2014-11-26,23.79,25.85,23.79,25.07,42100,25.07
2014-11-25,23.53,23.96,22.86,23.89,17300,23.89
2014-11-24,21.74,23.48,21.74,23.37,50000,23.37
2014-11-21,21.91,22.84,21.05,21.73,17300,21.73
2014-11-20,21.48,22.57,21.01,21.78,13700,21.78
2014-11-19,22.28,22.33,21.27,21.94,9700,21.94
2014-11-18,22.58,23.00,20.50,21.67,20400,21.67
2014-11-17,22.14,23.11,20.93,22.51,28600,22.51
2014-11-14,21.74,23.13,19.85,20.31,30400,20.31
2014-11-13,23.00,24.00,21.01,21.74,69000,21.74
2014-11-12,21.04,23.53,20.73,22.79,62400,22.79
2014-11-11,20.35,21.00,18.96,20.94,30500,20.94
2014-11-10,22.00,22.00,19.22,19.77,52300,19.77
2014-11-07,22.21,23.27,20.80,21.66,32000,21.66
2014-11-06,21.65,23.56,21.00,22.23,89200,22.23
2014-11-05,24.03,26.33,21.46,23.00,189300,23.00
2014-11-04,15.05,23.50,15.05,23.06,209100,23.06
2014-11-03,14.50,14.50,14.00,14.05,2100,14.05
2014-10-31,13.89,14.50,13.89,14.40,1400,14.40
2014-10-30,14.19,14.19,14.19,14.19,000,14.19
2014-10-29,14.50,14.50,13.90,14.19,3800,14.19
2014-10-28,14.30,14.34,14.08,14.33,2000,14.33
2014-10-27,14.01,14.02,14.01,14.02,400,14.02
2014-10-24,14.28,14.50,14.15,14.16,8400,14.16
2014-10-23,14.17,14.63,14.17,14.60,2500,14.60
2014-10-22,14.49,14.49,14.16,14.23,800,14.23
2014-10-21,14.16,14.58,14.11,14.58,800,14.58
2014-10-20,14.44,14.77,14.41,14.77,2800,14.77
2014-10-17,15.18,15.18,14.13,14.41,7100,14.41
2014-10-16,11.95,14.95,11.95,14.95,2100,14.95
2014-10-15,13.77,13.77,12.35,12.66,16900,12.66
2014-10-14,14.69,14.79,13.91,13.96,3900,13.96
2014-10-13,15.31,15.33,14.64,14.64,6200,14.64
2014-10-10,15.41,15.41,15.30,15.31,3400,15.31
2014-10-09,15.69,15.69,14.97,15.25,3900,15.25
2014-10-08,14.97,15.22,14.85,15.22,3500,15.22
2014-10-07,14.48,14.99,14.48,14.85,4300,14.85
2014-10-06,14.38,15.49,14.38,14.60,1400,14.60
2014-10-03,14.14,14.54,14.14,14.50,5000,14.50
2014-10-02,14.19,14.69,14.11,14.11,3800,14.11
2014-10-01,15.34,15.34,14.42,14.73,14600,14.73
2014-09-30,15.77,15.77,15.40,15.59,6600,15.59
2014-09-29,17.18,17.23,15.40,15.91,18700,15.91
2014-09-26,17.34,17.74,17.20,17.32,8400,17.32
2014-09-25,17.11,17.50,17.11,17.20,3600,17.20
2014-09-24,16.64,17.57,16.60,17.19,9000,17.19
2014-09-23,16.71,28.04,16.30,16.64,10600,16.64
2014-09-22,16.44,17.00,16.15,16.72,9300,16.72
2014-09-19,15.60,16.90,15.60,16.49,13500,16.49
2014-09-18,15.59,15.79,15.57,15.61,2900,15.61
2014-09-17,15.79,15.79,15.54,15.54,3500,15.54
2014-09-16,15.40,15.56,15.40,15.42,5300,15.42
2014-09-15,15.55,15.62,15.40,15.41,13700,15.41
2014-09-12,15.00,15.70,14.96,15.41,13200,15.41
2014-09-11,14.70,14.99,14.70,14.99,12200,14.99
2014-09-10,14.60,14.70,14.43,14.70,9200,14.70
2014-09-09,13.87,14.60,13.87,14.50,10800,14.50
2014-09-08,13.60,14.00,13.55,14.00,13300,14.00
2014-09-05,13.40,13.57,13.40,13.52,8600,13.52
2014-09-04,13.21,13.40,13.06,13.32,12800,13.32
2014-09-03,13.13,13.25,13.10,13.12,2100,13.12
2014-09-02,13.09,13.25,13.01,13.12,3900,13.12
2014-08-29,12.97,12.97,12.97,12.97,300,12.97
2014-08-28,12.99,13.12,12.90,13.03,4200,13.03
2014-08-27,13.06,13.48,13.06,13.11,6200,13.11
2014-08-26,12.59,13.15,12.57,12.88,24600,12.88
2014-08-25,12.44,12.60,12.30,12.56,16400,12.56
2014-08-22,12.35,12.50,12.35,12.50,6000,12.50
2014-08-21,12.41,12.47,12.32,12.47,3100,12.47
2014-08-20,12.42,12.50,12.30,12.41,6000,12.41
2014-08-19,12.37,12.45,12.18,12.42,4100,12.42
2014-08-18,12.45,12.50,12.08,12.49,11700,12.49
2014-08-15,12.31,12.45,12.09,12.44,11500,12.44
2014-08-14,12.21,12.43,12.21,12.36,18600,12.36
2014-08-13,12.12,12.12,12.12,12.12,000,12.12
2014-08-12,12.32,12.45,12.11,12.12,700,12.12
2014-08-11,12.31,12.50,12.15,12.49,5000,12.49
2014-08-08,12.20,12.21,12.20,12.21,800,12.21
2014-08-07,11.76,12.24,11.76,12.24,6900,12.24
2014-08-06,11.78,12.00,11.78,11.81,1000,11.81
2014-08-05,12.22,12.49,11.95,12.05,11700,12.05
2014-08-04,12.20,12.50,12.19,12.50,9600,12.50
2014-08-01,12.30,12.30,12.12,12.25,1700,12.25
2014-07-31,12.33,12.33,12.14,12.33,4300,12.33
2014-07-30,11.92,12.33,11.92,12.33,2000,12.33
2014-07-29,11.78,11.94,11.77,11.81,4000,11.81
2014-07-28,12.00,12.18,11.77,12.16,4000,12.16
2014-07-25,11.76,12.18,11.76,12.01,7000,12.01
2014-07-24,11.77,12.25,11.77,11.77,2300,11.77
2014-07-23,11.89,12.28,11.89,12.10,15100,12.10
2014-07-22,12.09,12.09,11.83,12.09,6500,12.09
2014-07-21,12.13,12.13,11.72,11.82,9100,11.82
2014-07-18,12.49,12.49,12.04,12.22,13700,12.22
2014-07-17,12.36,12.50,12.22,12.36,31300,12.36
2014-07-16,12.40,12.49,12.02,12.37,22100,12.37
2014-07-15,12.13,12.35,12.01,12.35,7100,12.35
2014-07-14,12.26,12.27,12.04,12.06,5400,12.06
2014-07-11,12.09,12.43,12.09,12.35,7800,12.35
2014-07-10,12.10,12.34,12.01,12.01,2300,12.01
2014-07-09,12.25,12.25,12.01,12.02,2000,12.02
2014-07-08,12.00,12.25,12.00,12.25,2000,12.25
2014-07-07,12.50,12.50,11.99,12.26,5100,12.26
2014-07-03,11.82,12.77,11.82,12.49,7200,12.49
2014-07-02,12.01,12.05,11.51,12.00,23500,12.00
2014-07-01,12.13,12.70,12.03,12.15,9300,12.15
2014-06-30,12.53,12.53,12.14,12.14,3200,12.14
2014-06-27,12.77,12.98,12.60,12.60,3800,12.60
2014-06-26,12.59,12.97,12.59,12.97,1100,12.97
2014-06-25,12.86,12.99,12.60,12.99,700,12.99
2014-06-24,12.95,13.01,12.88,12.88,7800,12.88
2014-06-23,12.95,13.29,12.95,13.00,10200,13.00
2014-06-20,13.10,13.18,12.95,12.95,15800,12.95
2014-06-19,13.09,13.28,13.02,13.02,1800,13.02
2014-06-18,13.09,13.21,13.08,13.12,2700,13.12
2014-06-17,13.04,13.16,13.02,13.10,1000,13.10
2014-06-16,13.07,13.09,13.03,13.07,1800,13.07
2014-06-13,13.27,13.27,13.07,13.23,1800,13.23
2014-06-12,13.00,13.28,13.00,13.28,5000,13.28
2014-06-11,13.16,13.18,13.00,13.00,2100,13.00
2014-06-10,13.18,13.30,13.14,13.18,4600,13.18
2014-06-09,13.11,13.22,12.95,13.21,1700,13.21
2014-06-06,13.10,13.14,13.01,13.01,6700,13.01
2014-06-05,13.00,13.25,12.95,13.06,30400,13.06
2014-06-04,13.60,13.72,12.79,13.01,35100,13.01
2014-06-03,13.40,13.61,13.30,13.61,4400,13.61
2014-06-02,14.45,14.45,13.05,13.20,7300,13.20
